id,phdr_in_vivo_result_id,phdr_clinical_trial_id
GLE_21:Expedition-1,GLE_21,Expedition-1
GLE_21:Expedition-2,GLE_21,Expedition-2
GLE_21:Surveyor-1,GLE_21,Surveyor-1
GLE_21:Surveyor-2,GLE_21,Surveyor-2
GLE_23:Surveyor-1,GLE_23,Surveyor-1
GLE_23:Surveyor-2,GLE_23,Surveyor-2
GLE_26:Magellan-1_Part_1,GLE_26,Magellan-1_Part_1
GLE_27:Magellan-1_Part_2,GLE_27,Magellan-1_Part_2
GLE_2:Magellan-1_Part_2,GLE_2,Magellan-1_Part_2
GLE_35:Endurance-1,GLE_35,Endurance-1
GLE_35:Endurance-2,GLE_35,Endurance-2
GLE_35:Endurance-3,GLE_35,Endurance-3
GLE_35:Endurance-4,GLE_35,Endurance-4
GLE_35:Expedition-1,GLE_35,Expedition-1
GLE_35:Expedition-2,GLE_35,Expedition-2
GLE_35:Surveyor-1,GLE_35,Surveyor-1
GLE_35:Surveyor-2,GLE_35,Surveyor-2
GLE_38:Endurance-1,GLE_38,Endurance-1
GLE_38:Endurance-2,GLE_38,Endurance-2
GLE_38:Endurance-3,GLE_38,Endurance-3
GLE_38:Endurance-4,GLE_38,Endurance-4
GLE_38:Expedition-1,GLE_38,Expedition-1
GLE_38:Expedition-2,GLE_38,Expedition-2
GLE_38:Surveyor-1,GLE_38,Surveyor-1
GLE_38:Surveyor-2,GLE_38,Surveyor-2
GLE_45:Magellan-1_Part_2,GLE_45,Magellan-1_Part_2
GLE_46:Magellan-1_Part_2,GLE_46,Magellan-1_Part_2
GLE_47:Endurance-1,GLE_47,Endurance-1
GLE_47:Endurance-2,GLE_47,Endurance-2
